Condition	Video	Date	Time	Time_2
A	E04A-0564	28/08/2017	14:09:00	0.589583333
A	E04A-0567	28/08/2017	14:47:00	0.615972222
A	E04A-0570	28/08/2017	15:20:00	0.638888889
A	E04A-0571	28/08/2017	16:35:00	0.690972222
A	E04A-0572	28/08/2017	17:09:00	0.714583333
A	E04A-0574	29/08/2017	9:25:00	0.392361111
A	E04A-0576	29/08/2017	10:18:00	0.429166667
A	E04A-0578	29/08/2017	10:58:00	0.456944444
A	E04A-0579	29/08/2017	11:36:00	0.483333333
A	E04A-0582	29/08/2017	12:28:00	0.519444444
A	E04A-0585	29/08/2017	13:25:00	0.559027778
A	E04A-0587	29/08/2017	14:13:00	0.592361111
A	E04A-0590	29/08/2017	14:59:00	0.624305556
A	E04A-0592	29/08/2017	15:32:00	0.647222222
A	E04A-0594	29/08/2017	16:22:00	0.681944444
A	E04A-0596	30/08/2017	7:50:00	0.326388889
A	E04A-0598	30/08/2017	8:26:00	0.351388889
A	E04B-0001	30/08/2017	9:30:00	0.395833333
A	E04B-0003	30/08/2017	10:04:00	0.419444444
A	E04B-0006	30/08/2017	10:36:00	0.441666667
A	E04B-0011	30/08/2017	11:10:00	0.465277778
A	E04B-0015	30/08/2017	12:02:00	0.501388889
A	E04B-0020	30/08/2017	12:42:00	0.529166667
A	E04B-0023	30/08/2017	13:46:00	0.573611111
A	E04B-0025	30/08/2017	14:27:00	0.602083333
A	E04B-0028	30/08/2017	15:20:00	0.638888889
A	E04B-0030	30/08/2017	15:55:00	0.663194444
A	E04B-0034	30/08/2017	16:42:00	0.695833333
A	E04B-0037	31/08/2017	7:57:00	0.33125
A	E04B-0038	01/09/2017	11:52:00	0.494444444
A	E04B-0041	01/09/2017	12:47:00	0.532638889
A	E04B-0042	01/09/2017	13:49:00	0.575694444
A	E04B-0045	02/09/2017	8:50:00	0.368055556
A	E04B-0047	02/09/2017	11:19:00	0.471527778
A	E04B-0049	02/09/2017	13:00:00	0.541666667
A	E04B-0050	02/09/2017	16:12:00	0.675
A	E04B-0051	02/09/2017	16:52:00	0.702777778
A	E04B-0053	02/09/2017	17:37:00	0.734027778
A	E04B-0055	03/09/2017	10:14:00	0.426388889
A	E04B-0056	03/09/2017	12:06:00	0.504166667
A	E04B-0058	03/09/2017	12:42:00	0.529166667
A	E04B-0059	03/09/2017	13:22:00	0.556944444
A	E04B-0062	03/09/2017	13:54:00	0.579166667
A	E04B-0065	03/09/2017	15:32:00	0.647222222
A	E04B-0069	03/09/2017	16:09:00	0.672916667
A	E04B-0071	03/09/2017	17:12:00	0.716666667
A	E04B-0073	03/09/2017	17:55:00	0.746527778
A	E04B-0074	04/09/2017	7:13:00	0.300694444
A	E04B-0075	04/09/2017	7:56:00	0.330555556
A	E04B-0076	04/09/2017	9:13:00	0.384027778
A	E04B-0077	04/09/2017	9:44:00	0.405555556
A	E04B-0080	04/09/2017	10:23:00	0.432638889
A	E04B-0083	04/09/2017	11:00:00	0.458333333
A	E04B-0087	04/09/2017	11:36:00	0.483333333
A	E04B-0092	04/09/2017	12:19:00	0.513194444
A	E04B-0095	04/09/2017	12:55:00	0.538194444
A	E04B-0097	04/09/2017	13:31:00	0.563194444
A	E04B-0099	04/09/2017	14:07:00	0.588194444
A	E04B-0102	04/09/2017	14:54:00	0.620833333
A	E04B-0104	04/09/2017	15:27:00	0.64375
A	E04B-0106	04/09/2017	16:07:00	0.671527778
A	E04B-0107	04/09/2017	16:44:00	0.697222222
A	E04B-0108	04/09/2017	17:21:00	0.722916667
A	E04B-0109	05/09/2017	7:52:00	0.327777778
B	E04B-0110	06/09/2017	10:52:00	0.452777778
B	E04B-0111	06/09/2017	11:56:00	0.497222222
B	E04B-0114	06/09/2017	12:36:00	0.525
B	E04B-0116	06/09/2017	13:07:00	0.546527778
B	E04B-0118	06/09/2017	14:07:00	0.588194444
B	E04B-0120	06/09/2017	14:51:00	0.61875
B	E04B-0122	06/09/2017	15:23:00	0.640972222
B	E04B-0123	06/09/2017	15:55:00	0.663194444
B	E04B-0124	06/09/2017	16:46:00	0.698611111
B	E04B-0126	06/09/2017	17:27:00	0.727083333
B	E04B-0127	06/09/2017	18:19:00	0.763194444
B	E04B-0128	07/09/2017	7:01:00	0.292361111
B	E04B-0131	07/09/2017	8:21:00	0.347916667
